公告id,股东全称,股东简称,变动截止日期,变动价格,变动数量,变动后持股数,变动后持股比例
100829,成都美好房屋开发有限公司,美好房屋,2015-03-23,,13170938,,
100829,成都美好房屋开发有限公司,美好房屋,2015-03-19,,290000,,
1011117,长和投资有限公司,长和投资,2013-12-05,8.1,7000000,,
1011117,长和投资有限公司,长和投资,2014-01-02,8.4,10000000,,
1011117,长和投资有限公司,长和投资,2014-01-03,8.1,10000000,,
1011117,长和投资有限公司,长和投资,2014-01-24,8.1,16175500,136064869,0.1576
1017335,新疆日月投资股份有限公司,日月投资,2013-01-15,,8505200,,
1017335,新疆日月投资股份有限公司,日月投资,2014-01-23,,22000000,87918629,0.1246
1032413,浪莎控股集团有限公司,浪莎集团,2012-01-04,,200000,41495355,0.4268
1032787,李跃宗,,2014-01-14,13.7,748000,2244800,0.0168
1032787,李琛,,2014-01-15,16.6,191450,,
1032787,杰得投资,,2014-01-15,14.8,2000000,,
1032787,希旭投资,,2014-01-14,13.7,1650000,,
1035043,广州市有达投资有限公司,有达投资,2014-01-08,19.2,2500000,,
1035043,广州市有达投资有限公司,有达投资,2014-01-10,20.2,1000000,,
1035043,广州市有达投资有限公司,有达投资,2014-01-13,19.6,2000000,20316133,0.0518
105149,江苏沙钢集团有限公司,沙钢集团,2013-07-31,8.27,1880000,,
105149,江苏沙钢集团有限公司,沙钢集团,2015-03-24,14.8,1708800,10495000,0.053
1060689,长和投资有限公司,长和投资,2013-12-05,8.1,7000000,,
1060689,长和投资有限公司,长和投资,2014-01-02,8.4,10000000,,
1060689,长和投资有限公司,长和投资,2014-01-03,8.1,10000000,152240369,0.1763
1087592,华仪电器集团有限公司,华仪集团,2013-12-19,,4800000,,
1087592,华仪电器集团有限公司,华仪集团,2013-09-17,,5000000,184002500,0.3492
1089999,美欣达集团有限公司,美欣达集团,2012-12-03,7.71,150000,,
1089999,美欣达集团有限公司,美欣达集团,2012-12-04,7.89,105000,,
1089999,美欣达集团有限公司,美欣达集团,2012-12-05,8.10,89311,,
1090777,福建稀土集团,,2013-12-04,29.93,6459562,,
1092460,巨化集团公司,,2012-11-30,,1256112,,
1092460,巨化集团公司,,2013-10-29,,1425458,,
1092460,浙江巨化投资有限公司,巨化投资公司,2013-11-29,,25756595,,
1092460,巨化集团公司,,2013-06-18,,13422453,,
1092460,巨化集团公司,,2013-07-15,,13659827,,
1092531,福特汽车公司,福特汽车,2013-11-29,,17264194,276228394,0.32
1094682,上海锦江国际酒店(集团)股份有限公司,锦江酒店，证券代码为02006.HK,2013-11-19,6.30,,,
1100501,深圳市平安创新资本投资有限公司,平安创新,2013-09-16,9.9,1000000,,
1100501,深圳市平安创新资本投资有限公司,平安创新,2013-09-23,9.6,2000000,,
1100501,深圳市平安创新资本投资有限公司,平安创新,2013-10-22,9.8,10000000,,
1100501,深圳市平安创新资本投资有限公司,平安创新,2013-10-23,10.8,15000000,,
1101469,嘉乐进出口有限公司,香港嘉乐,2013-10-17,5.9,10520350,,
1106424,北京有色金属研究总院,有研总院,2012-08-31,,80000,,
1106424,北京有色金属研究总院,有研总院,2013-08-30,,2119750,,
1113485,大象创业投资有限公司,大象投资,2010-12-15,,13850000,27350000,0.0974
1114475,洋浦百年投资有限公司,,2009-12-11,,8800000,,
1122413,青海中金创业投资有限公司,,2011-11-29,,5130000,,
1127895,深圳市洋润投资有限公司,洋润投资,2009-10-28,,2041469,,
1127895,深圳市深南实业有限公司,深南实业,2009-10-28,,3238778,,
1130102,新疆佰聚亿,,2012-11-06,9.2,800000,39540100000,0.0494
1131523,鲁商物产有限公司,,2011-10-28,,1585732,,
1133559,北京湘鄂情股份集团有限公司,湘鄂情,2013-06-06,9.0,1050000,,
1133559,北京湘鄂情股份集团有限公司,湘鄂情,2013-06-24,8.1,148300,,
1133559,北京湘鄂情股份集团有限公司,湘鄂情,2013-07-03,6.6,905000,,
1133559,北京湘鄂情股份集团有限公司,湘鄂情,2013-07-17,6.8,12000000,,
1133559,北京湘鄂情股份集团有限公司,湘鄂情,2013-07-17,7.1,236600,,
1134101,化学公司,,2013-07-11,,12955000,153624000,0.1766
1135215,广州诚信创业投资有限公司,诚信创投,2013-07-10,6.3,683520,16000936,0.0749
1136523,深圳市奥欣投资发展有限公司,奥欣投资,2013-06-28,6.33,420750,,
1136523,上海嘉悦投资发展有限公司,嘉悦投资,2013-03-08,7.,521000,697475470000,0.1424
1139772,美克投资集团有限公司,美克集团,2012-07-05,,200000,,
1139772,美克投资集团有限公司,美克集团,2013-01-04,,4756528,267719014,0.4232
1140478,大象创业投资有限公司,大象投资,2013-06-19,,14137280,12124520,0.0432
1158478,雅戈尔投资有限公司,雅戈尔投资,2009-08-31,6.47-6.5,430000,,
11586,浙江华睿盛银创业投资有限公司,华睿盛银,2014-02-10,40.4,157300,,
11586,浙江华睿盛银创业投资有限公司,华睿盛银,2014-02-11,40.0,106000,,
11586,浙江华睿盛银创业投资有限公司,华睿盛银,2014-02-17,42.2,70000,,
11586,浙江华睿盛银创业投资有限公司,华睿盛银,2014-02-26,44.8,100000,,
11586,浙江华睿盛银创业投资有限公司,华睿盛银,2014-02-27,47.4,100000,,
11586,浙江华睿盛银创业投资有限公司,华睿盛银,2014-03-17,44.2,80000,,
11586,浙江华睿盛银创业投资有限公司,华睿盛银,2014-03-18,44.3,100000,,
11586,浙江华睿盛银创业投资有限公司,华睿盛银,2014-03-19,43.1,85000,,
11586,浙江华睿盛银创业投资有限公司,华睿盛银,2014-03-20,42.4,90000,,
11586,浙江华睿盛银创业投资有限公司,华睿盛银,2014-05-20,32.0,145000,,
11586,浙江华睿盛银创业投资有限公司,华睿盛银,2014-05-21,34.6,300000,,
11586,浙江华睿盛银创业投资有限公司,华睿盛银,2014-05-29,20.2,650000,13350000,0.05
1169132,中国联合网络通信集团有限公司,联通集团,2013-05-03,,21944033,13211103654,
1170765,南平市人民政府国有资产监督管理委员会,南平市国资委,2009-03-27,,15410000,22090000,0.0306
1173601,北京华联集团投资控股有限公司（华联集团）,,2012-09-21,2.7,53062100,,
1202583,天津博信,,2012-09-21,12.0,206000,,
1202583,天津博信,,2012-09-24,12.0,109700,,
1202583,天津博信,,2012-09-25,12.0,45500,,
1202583,天津博信,,2012-09-27,11.7,103800,,
1202583,天津博信,,2012-09-28,11.9,229600,,
1202583,天津博信,,2012-10-08,12.1,161800,,
1202583,天津博信,,2012-10-09,12.3,203600,,
1202583,天津博信,,2012-10-22,11.8,199000,,
1205918,郑州宇通集团有限公司,宇通集团,2008-10-30,,3374669,,
1205918,郑州宇通集团有限公司,宇通集团,2009-07-07,,7785550,,
1208832,吉林省电力有限公司,吉林电力,2012-08-22,14.4,46399850000,,
1212269,洋浦高盛汇邦投资有限公司,,2009-06-23,,1400000,,
1212269,洋浦高盛汇邦投资有限公司,,2009-07-07,,1300000,,
1212269,洋浦高盛汇邦投资有限公司,,2009-08-28,,5500000,,
1213699,深圳市翔龙通讯有限公司,深圳翔龙,2009-04-24,,15800000,,
1219747,得逸投资,,2012-02-16,13.9,3166800,,
1219747,得逸投资,,2012-02-16,13.9,819000,,
1219747,得逸投资,,2012-02-16,13.9,819000,,
1219747,得逸投资,,2012-02-16,13.9,327600,6224400,0.0371
1226399,广州市有达投资有限公司,有达投资,2012-06-13,9.2,2804400,,
1226399,广州市有达投资有限公司,有达投资,2012-06-14,8.2,3000000,,
1226433,得逸投资,,2012-02-13,1,3203200,,
1226433,得帆投资,,2012-02-13,1,2005080,,
1231967,东莞勤上集团有限公司,勤上集团,2012-12-12,9.15,620572,,
1231967,东莞勤上集团有限公司,勤上集团,2013-03-14,11.16,3913015,,
1235368,之控股股东南京新工投资集团有限责任公司,新工投资集团,2013-03-01,,3472450,,
1240134,吉林石岘纸业有限责任公司,石纸有限,2009-11-30,,1800000,,
1250308,中国工商银行股份有限公司湖北省分行,,2010-02-24,,4308403,39570155,0.1055
1256160,吉林石岘纸业有限责任公司,石纸有限,2010-09-28,,2300000,,
1256160,吉林石岘纸业有限责任公司,石纸有限,2010-09-30,,69090100,,
1266240,深圳市益峰源实业有限公司,,2011-08-24,,8100000,47252900,0.1251
1269324,德华集团控股股份有限公司,德华集团,2012-12-12,3.49,1226210,,
1269324,德华集团控股股份有限公司,德华集团,2012-03-15,7.31,2351050,,
1271917,广东粤文投资有限公司,,2012-09-04,6.3,67595890000,,
1271917,广东粤文投资有限公司,,2012-09-04,6.3,67595890000,243326680000,0.0361
1277360,SAIFIII,,2012-09-13,15.8,2720000,,
1277360,TQM,,2012-09-13,15.8,680000,,
1280229,锦江股份,,2012-05-10,10.0,9598701,,
1280229,锦江国投,,2012-05-30,10.1,14114587,,
1284223,天津市政投资有限公司,市政投资,2010-10-15,,14395801,,
1293914,新疆奕飞,,2012-11-08,9.,6600000,2400000,0.0171
12944,长和投资有限公司,长和投资,2014-05-27,8.5,21175500,49713879,0.0576
1297099,高要市国有资产经营有限公司,,2010-08-16,28.11,374099,,
13023,彩虹集团电子股份有限公司,彩虹电子,2014-03-25,,5000000,,
13023,彩虹集团电子股份有限公司,彩虹电子,2014-05-26,,5000000,155004798,0.2104
1304154,赵学伟,,2012-07-02,11.1,190000,,0.0002
1307856,山东聊城鲁西化工集团有限责任公司,鲁化集团,2012-10-16,,980000,445901056,
1314008,达晨财富,,2011-11-07,16.5,500000,,
1314008,达晨财富,,2011-11-14,17.3,2000000,,
1319561,金石投资有限公司,金石投资,2011-04-07,,4540000,15173637,0.0334
1350271,贵普控股有限公司,贵普控股,2012-03-13,18.5,600000,,
1350271,贵普控股有限公司,贵普控股,2012-03-27,17.,300000,,
1350271,贵普控股有限公司,贵普控股,2012-05-09,17.2,1000000,,
1350271,贵普控股有限公司,贵普控股,2012-06-20,11.,6150000,,
1356450,江苏沙钢集团有限公司,沙钢集团,2011-06-08,7.888,2004006,1182269558,0.75
1361671,广东省广弘资产经营有限公司,广弘公司,2012-05-25,6.602,11348755,11348755,0.0194
1364837,青岛海信电子产业控股股份有限公司,海信电子控股,2008-09-19,,5743320,238967810,0.484
137355,荣冠投资有限公司,荣冠投资,2013-03-08,6.03,22320000,,
138792,荣冠投资有限公司,荣冠投资,2013-03-15,5.50,22320000,,
1392495,上海重阳资产管理有限公司,上海重阳,2008-05-05,,3069246,21130754,0.0714
14170601,奥克斯集团有限公司,奥克斯集团,2016-02-29,,1722330,,
14170601,奥克斯集团有限公司,奥克斯集团,2016-08-26,,7719653,457719653,0.3226
1421813,江苏宝源投资管理有限公司,宝源投资,2012-02-22,11.24,526688,67872256,0.253
1425240,上海证券交惦所,,2011-12-26,,5264792,,
1425240,上海证券交惦所,,2012-01-09,,3944615,,
143509,宜华企业（集团）有限公司,宜华集团,2013-01-31,,1000000,270013411,0.2342
1436134,青海天象投资实业有限公司,,2009-02-10,,1870000,,
1440639,北京京城华威投资有限公司,京城华威,2007-12-26,,24540088,,
1440639,北京京城华威投资有限公司,京城华威,2009-02-23,,21140000,21140000,0.0705
1440660,上海市黄浦区国有资产监督管理委员会,黄浦国资委,2008-10-09,,826299,81288392,0.2935
1442639,亿阳集团股份有限公司,亿阳集团,2009-09-22,,6637060,123912740,0.352
144659,国中（天津）水务有限公司,国中天津,2013-02-07,8.07,21360000,144305000,0.3378
144690,光明食品（集团）有限公司,光明食品集团,2013-02-08,,990420,321925585,0.4304
14472719,华联发展集团有限公司,华联集团,2016-02-22,49.4,5347600,,
14472719,华联集团控股子公司富冠投资有限公司,富冠投资,2016-02-22,,0,,
1449904,厦门海翼集团有限公司,海翼集团,2011-10-20,,2172399,,
1449904,厦门海翼集团有限公司,海翼集团,2011-08-23,,1179224,,
145313,云南省工业投资控股集团有限责任公司,云南工投,2012-10-16,,1772899,,
145313,云南省工业投资控股集团有限责任公司,云南工投,2012-08-22,,17078189,,
145313,云南省工业投资控股集团有限责任公司,云南工投,2013-01-16,,3145037,,
14669538,山东鲁锦进出口集团有限公司,鲁锦集团,2016-07-12,,50000000,,
14669538,张建华,,2016-07-12,,914552,,
14669538,山东海川集团控股有限公司,海川控股,2016-07-15,,9035475,,
14672230,SystexSolutions(HK)Limited,SystexSolutions,2016-09-07,58.5,500000,,
14672230,SystexSolutions(HK)Limited,SystexSolutions,2016-09-08,58.0,500000,,
14672230,SystexSolutions(HK)Limited,SystexSolutions,2016-09-09,57.3,300000,,
14762271,卢柏强,,2016-09-19,9.5,5500000,265598715,0.2906
14762271,深圳市融信南方投资有限公司,融信南方,2016-09-20,9.3,6000000,,
14780450,步森集团有限公司,,2016-09-23,42.0,1500000,6400000,0.0457
1485224,北京信捷和盛企业咨询有限责任公司,北京信捷,2011-03-29,18.3,439800,,
1485224,北京信捷和盛企业咨询有限责任公司,北京信捷,2011-04-07,17.0,560000,,
1485224,北京信捷和盛企业咨询有限责任公司,北京信捷,2011-07-14,14.0,160300,,
148533,有限责任公司,统众公司,2012-12-20,10.18,10000000,180683823,0.2621
14853711,上海百仕成投资中心（有限合伙）,百仕成投资,2016-09-30,17.84,3670000,,
1493572,深圳市中兴新通讯设备有限公司,中兴新,2011-06-13,25.8,48495000,,
149383,云南煤化工集团有限公司,煤化集团,2012-12-10,,200000,101508950,0.1647
1495148,青岛市企业发展投资有限公司,企发投,2010-05-13,,12780000,8086800,
1502238,江阴市澄江投资有限公司,澄江投资,2010-11-25,,139838,,
1503122,中泰信托投资有限责任公司,中泰信托,2010-10-26,,1450000,,
1503122,中泰信托投资有限责任公司,中泰信托,2010-12-20,,3000000,11131785,0.0755
1503704,中国建设银行山西省分行,,2011-01-05,,19831061,19831061,0.0862
1505637,青海天象,,2011-04-07,,11842500,11842500,
150727,百大集团股份有限公司,公司,2012-12-17,,7525671,,
150727,百大集团,,2012-12-18,4.82,7524806,,
151294,亚盛集团,,2012-12-12,,24235197,,
1533242,湖南长丰汽车制造股份有限公司,长丰汽车,2007-06-26,,1863500,,
15341097,上海恣颖实业有限公司,上海恣颖,2016-10-31,11.5,13100000,30900000,0.0368
15362553,广西交通投资集团有限公司,交投集团,2016-05-27,,4369400,,
15397410,烟台金业投资有限公司,金业投资,2016-11-09,15.1,6000000,,
15397410,烟台金业投资有限公司,金业投资,2016-11-10,15.2,4600000,,
154602,云南省工业投资控股集团有限责任公司,云南工投,2012-10-16,,1772899,,
154602,云南省工业投资控股集团有限责任公司,云南工投,2012-08-22,,17078189,,
15462270,杰得投资,,2016-09-27,15.4,3000000,,
15462270,杰得投资,,2016-11-16,16.0,3000000,40275000,0.1151
15468694,上海谱润股权投资企业（有限合伙）,上海谱润,2016-06-16,40.8,35000,,
15468694,上海谱润股权投资企业（有限合伙）,上海谱润,2016-06-17,40.9,47999,,
15469177,热键电子（香港）有限公司,香港热键,2016-11-17,34.1,4530000,,
15469177,热键电子（香港）有限公司,香港热键,2016-11-17,34.1,2830000,,
15480139,杭州宋城集团控股有限公司,宋城控股,2016-11-22,22.6,37761882,,
15480139,黄巧龙,,2016-11-22,22.6,18300000,,
15480139,刘萍,,2016-11-22,22.6,7938118,,
15485871,中兵投资管理有限责任公司,中兵投资,2016-11-23,,15000000,,
15485871,中兵投资管理有限责任公司,中兵投资,2016-11-02,,10000000,754954138,0.5069
15486059,金岸有限公司,金岸公司,2016-11-18,28.9,200000,,
15486059,金岸有限公司,金岸公司,2016-11-21,29.3,300000,,
15486059,金岸有限公司,金岸公司,2016-11-22,29.3,500000,,
15486059,金岸有限公司,金岸公司,2016-11-23,30.0,300000,,
15486059,金岸有限公司,金岸公司,2016-11-24,29.3,400000,,
1549627,贵州赤天化集团有限责任公司,,2008-10-25,,10,,
15496938,公司,蓝润资产,2016-11-28,17.20,800043,,
1549695,北京北辰实业集团公司,北辰集团,2008-10-13,,1000031,1161000031,0.3448
15509925,浙江三变集团有限公司,三变集团,2016-11-04,20.3,10600,,
15530453,大亚科技集团有限公司,大亚集团,2016-12-09,19.04,500800,252200800,0.4752
15535486,爱尔眼科医院集团股份有限公司,公司,2016-12-12,,308712,,
1554175,新华基金管理有限公司,新华基金,2015-03-13,6.1,11510000,26380000,0.0499
15571993,中牧实业股份有限公司,中牧实业,2014-12-02,27.4,2300000,,
15576140,君康人寿保险股份有限公司,君康人寿,2016-12-02,15.0,6000000,,
15576140,君康人寿保险股份有限公司,君康人寿,2016-12-22,13.0,12636413,22301500,0.05
15600071,深圳市华美达一号投资中心（有限合,,2016-12-15,32.7,1995000,,
15600071,深圳市华美达一号投资中心（有限合,,2016-12-29,30.8,12622100,,
15602126,萍乡市富海新能投资中心（有限合伙）,萍乡富海,2016-12-26,,78500000,,
15602126,萍乡市富海新能投资中心（有限合伙）,萍乡富海,2016-12-28,,100000000,,
15602126,萍乡市富海新能投资中心（有限合伙）,萍乡富海,2016-12-29,,123030000,,
15603783,湖南长炼兴长集团有限责任公司,,2016-12-20,30.9,1836922,,
15604110,石河子金凯股权投资有限合伙企业,石河子金凯,2016-12-28,33.5,1360000,,
15604110,石河子金凯股权投资有限合伙企业,石河子金凯,2016-12-28,33.5,400000,,
15604110,石河子金凯股权投资有限合伙企业,石河子金凯,2016-12-29,32.2,1767200,11725200,0.0499
15624695,苏州新区创新科技投资管理有限公司,创新科技,2016-12-26,,1877800,,
15624695,苏州新区创新科技投资管理有限公司,创新科技,2016-12-28,,130000,,
15624695,苏州新区创新科技投资管理有限公司,创新科技,2017-01-06,,400000,,
1562660,华联发展集团有限公司,华联集团,2015-02-06,40.149,473500,27325100,0.1116
156566,中国交通建设股份有限公司,中国交建,2012-10-18,,2,1265637849,
1566692,华仁世纪集团有限公司,华仁世纪集团,2015-01-30,6.,27500000,,
15688791,湖北武昌鱼股份有限公司,公司或上市公司,2017-01-26,,12715356,,
15692130,荣盛控股股份有限公司,荣盛控股,2016-02-02,6.86,7600000,,
15692130,荣盛控股股份有限公司,荣盛控股,2016-06-20,6.90,23900046,,
15692130,荣盛控股股份有限公司,荣盛控股,2016-08-12,,43999994,,
15692130,荣盛控股股份有限公司,荣盛控股,2017-01-29,8.01,8000000,,
15697048,招远君兴农业发展中心,君兴农业,2017-01-26,,4488700,,
15697048,招远君兴农业发展中心,君兴农业,2017-02-03,,2000000,,
15697048,招远君兴农业发展中心,君兴农业,2017-02-06,,1925500,,
15697048,招远君兴农业发展中心,君兴农业,2017-02-07,,2994104,,
15697048,招远君兴农业发展中心,君兴农业,2017-02-08,,1724100,429292404,0.3398
15706705,河南森源电气股份有限公司,公司,2017-02-13,,4472070,,
15722869,河南森源集团有限公司,森源集团,2016-12-12,,13191954,,
15722869,河南森源集团有限公司,森源集团,2016-05-06,,9999811,,
15722869,河南森源集团有限公司,森源集团,2017-02-13,,4472070,,
15722869,河南森源集团有限公司,森源集团,2017-02-16,,1645600,,
15725928,京山轻机控股有限公司,轻机控股,2016-11-25,25.0,4000000,,
15753788,产业投资有限公司,中植产投,2017-02-16,21.58-22.0,976701,,
15753788,产业投资有限公司,中植产投,2017-02-17,22.25-22.85,809100,,
15753788,产业投资有限公司,中植产投,2017-03-01,23.88-24.79,950000,,
157557,重庆东银实业（集团）有限公司,东银集团,2012-03-16,,2181769,,
157557,重庆东银实业（集团）有限公司,东银集团,2012-09-07,,14399954,,
15761186,宜华企业（集团）有限公司,宜华集团,2016-10-31,11.37,1935300,,
15761186,宜华企业（集团）有限公司,宜华集团,2017-02-16,10.58,13500000,,
15761186,宜华企业（集团）有限公司,宜华集团,2017-03-03,10.91,14200000,,
15761186,宜华企业（集团）有限公司,宜华集团,2016-10-31,10.79,29635300,396144899,0.2902
157635,中国通用技术（集团）控股有限责任公司,通用技术集团,2012-09-10,,1200090,,
157635,中国通用技术（集团）控股有限责任公司,通用技术集团,2012-09-26,,11211911,201219911,0.6471
15793882,投资有限责任公司,建投投资,2017-03-12,13.90-14.1,8248500,,
1584627,东亚真空电镀厂有限公司,,2015-04-13,22.4,3000000,,
1584627,东亚真空电镀厂有限公司,,2015-04-13,22.4,4350000,,
1584627,东亚真空电镀厂有限公司,,2015-04-13,22.4,7350000,59810000,0.1037
1586095,湖南长炼兴长集团有限责任公司,兴长集团,2015-04-14,27.2,2682794,,
1586095,湖南长炼兴长集团有限责任公司,兴长集团,2015-04-14,,0,,
1586095,湖南长炼兴长集团有限责任公司,兴长集团,2015-04-14,,0,40950000,0.1747
1587828,海南宏氏投资有限公司,宏氏投资,2014-11-21,13.7,10000000,,
1587828,海南宏氏投资有限公司,宏氏投资,2014-11-24,13.6,6000000,,
1587828,海南宏氏投资有限公司,宏氏投资,2014-12-16,13.4,6000000,,
1587828,海南宏氏投资有限公司,宏氏投资,2015-03-09,17.0,4130000,148438965,0.4948
1590625,招商局华建公路投资有限公司,,2015-04-16,,64706051,,
159115,上海兴铭房地产有限公司,上海兴铭,2012-09-05,,1068410,,
15928841,持股的基本情况截至百灏投资有限公司,百灏投资,2017-04-05,14.56-16.1,7200000,16885834,0.0262
16063230,天津泰达投资控股有限公司,泰达控股,2017-04-26,31.5,2510000,,
16144422,天勤十七号,,2017-05-05,14.0,7935200,,
16144422,天勤十七号,,2017-05-08,14.0,3151900,,
16149025,创通投资（智盈9号）,,2017-05-02,23.6,13700,,
16149025,创通投资（智盈9号）,,2017-05-03,23.4,154900,,
16149025,创通投资（智盈9号）,,2017-05-04,23.1,107000,,
16149025,创通投资（智盈9号）,,2017-05-05,22.9,838400,,
16149025,创通投资（智盈9号）,,2017-05-08,22.6,1658600,,
16149990,深圳市融华投资有限公司,融华投资,2017-04-21,55.6,1796600,,
16149990,深圳市融华投资有限公司,融华投资,2017-05-09,50.4,4572173,,
